loop:1,season:59345225,P_air:4.994773891758967,P_ice:9.512598621906393e-06,P_rego:0.005216595642412052,T_sub:214.2944847505725
149,326.37570680919,0,319.6639588018261,0,329.999870816571,0
150,323.7642781399131,0,316.9840697228094,0,327.4267946946064,0
151,321.1459887562155,0,314.5081264268915,0,324.8440384416361,0
152,318.5229242942966,0,312.0276534542199,0,322.2536040929895,0
153,315.8972027433713,0,309.5446506974358,0,319.657525036599,0
154,313.2709662205028,0,307.0611406994377,0,317.0578582595085,0
155,310.6463700357857,0,304.5791583629548,0,314.4566740469214,0
156,308.0255682797963,0,302.1007373901199,0,311.8560424110231,0
157,305.4106949299999,0,299.6278925074541,0,309.258015304879,0
158,302.803839154517,0,297.1625962314233,0,306.6646033766795,0
159,300.2070130559434,0,294.706748518834,0,304.0777456084957,0
160,297.6221094938791,0,292.2621370762602,0,301.4992696138365,0
161,295.0508467754927,0,289.8303853012933,0,298.930839566729,0
162,292.4946957907565,0,287.4128836836425,0,296.3738875904129,0
163,289.9547834077417,0,285.0106988315611,0,293.8295227710683,0
164,287.4317633367883,0,282.6244518281035,0,291.2984095011442,0
165,284.9256417334667,0,280.2541539026565,0,288.7806031376992,0
166,282.4355387175161,0,277.8989816501661,0,286.2753252081736,0
167,279.9593573114328,0,275.5569648958194,0,283.7806512613999,0
168,277.4933154837682,0,273.224545365404,0,281.2930695240296,0
169,275.0312702324851,0,270.8959390610049,0,278.8068432620498,0
170,272.5637156329394,0,268.5621908481086,0,276.3130653535254,0
171,270.0762503795796,0,266.2097281743394,0,273.7982119926663,0
172,267.547143002877,0,263.818062809036,0,271.2418444145897,0
173,264.9432777701077,0,261.3559635384958,0,268.6127815754843,0
174,262.2129956438487,0,258.774696916456,0,265.862340887805,0
175,259.272461024743,0,255.9951544186527,0,262.9114653593517,0
176,255.9769600408241,0,252.8807503782092,0,259.6236215129436,0
177,252.0513896636552,0,249.1717835986177,0,255.7391609835229,0
178,246.882258664997,0,244.2890242324683,0,250.6789073807722,0
179,238.6183243209481,0,236.4844460382952,0,242.6948885296894,0
180,214.2944847505725,864.2470231176718,214.2944848415474,864.251193744189,219.2065118567194,0
