loop:1,season:59345780,P_air:4.989179294989851,P_ice:0,P_rego:0.0108207050101484,T_sub:214.2795347109636
75,390.2041151055277,0,384.6035508417163,0,392.7995053392582,0
76,386.706471172378,0,381.0144983554655,0,389.3211741085096,0
77,383.2518212423479,0,377.4707368423481,0,385.8883959494213,0
78,379.8432642718251,0,373.9755990903064,0,382.5042415526809,0
79,376.4838307329586,0,370.5323950870149,0,379.1717318950246,0
80,373.1764642971631,0,367.1443583253568,0,375.893800085521,0
81,369.9240031843428,0,363.81459227448,0,372.6732820279724,0
82,366.7291614911098,0,360.5460967286423,0,369.5129704152502,0
83,363.5945108335733,0,357.341735073132,0,366.4154895012493,0
84,360.5224626537337,0,354.2041695577747,0,363.3832382235571,0
85,357.5152515420716,0,351.1359007890899,0,360.4185422383175,0
86,354.5749199218487,0,348.139222099718,0,357.5234350161637,0
87,351.7033044226988,0,345.2161827849833,0,354.6997945621217,0
88,348.9020242424605,0,342.3685981248575,0,351.9492075880295,0
89,346.172471757516,0,339.5980242967166,0,349.2730507115384,0
90,343.5158055942526,0,336.9057716040018,0,346.6724394637362,0
91,340.9329463192197,0,334.2928618580534,0,344.1481907829787,0
92,338.4245748448698,0,331.7600541609498,0,341.7008771231792,0
93,335.9911335836736,0,329.3078324505004,0,339.3307938726169,0
94,333.6328303181084,0,326.9364381867102,0,337.037968368117,0
95,331.3496446899057,0,324.6458227565279,0,334.8221889708153,0
96,329.1413371512904,0,322.4357512016915,0,332.682998019894,0
97,327.0074601658781,0,320.3056962474722,0,330.6196806819176,0
98,324.9473713992601,0,318.2550109645369,0,328.6313483964011,0
99,322.9602486006407,0,316.2827611181354,0,326.7169137576581,0
100,321.0451058482576,0,314.3878570699162,0,324.8751000969497,0
101,319.2008108133884,0,312.5691292668892,0,323.1044957621089,0
102,317.426102690696,0,310.8252635289956,0,321.4035668659631,0
103,315.7196104462311,0,309.1548471957387,0,319.7706640891544,0
104,314.0798710478784,0,307.5564068275422,0,318.2040429260749,0
105,312.5053473653749,0,306.0284500987175,0,316.7019396147837,0
106,310.9944454568713,0,304.5694030380014,0,315.2624968736216,0
107,309.5455309947918,0,303.1777254960725,0,313.883853225625,0
108,308.1569446237963,0,301.8518601946076,0,312.5641699328507,0
109,306.8270160862083,0,300.5902931065096,0,311.3015428396489,0
110,305.5540769936949,0,299.3915327851515,0,310.0941549649998,0
111,304.336472166655,0,298.2541475330983,0,308.9402019300184,0
112,303.1725695033699,0,297.1767831533073,0,307.837866839717,0
113,302.060768378252,0,296.1581036071138,0,306.7854873343601,0
114,300.9995066016445,0,295.1969155768778,0,305.781320591115,0
115,299.9872660019159,0,294.2920140297651,0,304.823778465075,0
116,299.0225767136465,0,293.4423789846717,0,303.9113314761261,0
117,298.1040202734352,0,292.6469136737558,0,303.0423775523509,0
118,297.2302316373251,0,291.9047615527931,0,302.2156324375513,0
119,296.3999002413598,0,291.2148957088766,0,301.4295573588791,0
120,295.6117702297667,0,290.5765450035535,0,300.6827387493542,0
121,294.8646399742497,0,289.9886874074377,0,299.9743999095114,0
122,294.1573610035178,0,289.4504114346376,0,299.3028286202441,0
123,293.488836455098,0,288.960529141133,0,298.6669439392491,0
124,292.8580191523012,0,288.5175659022701,0,298.0657792796458,0
125,292.2639093986122,0,288.1195017636648,0,297.498097353564,0
126,291.7055525702609,0,287.7626755930733,0,296.9629583646977,0
127,291.1820365757737,0,287.4402880747244,0,296.4593268135745,0
128,290.6924892394017,0,287.1498692581145,0,295.9861988739555,0
129,290.236075653671,0,286.8904099080077,0,295.5426987296839,0
130,289.8119955352134,0,286.6609236897343,0,295.1278441436199,0
131,289.4194806076458,0,286.4604435433648,0,294.7407800368604,0
132,289.0577920255694,0,286.2880180829994,0,294.3806208717826,0
133,288.726217844843,0,286.1427080137288,0,294.0464755926257,0
134,288.4240705359443,0,286.0235825535662,0,293.7375332391812,0
135,288.1506845293943,0,285.9297158438185,0,293.4529179428183,0
136,287.9054137745842,0,285.8601833287366,0,293.1917889268075,0
137,287.6876292856432,0,285.8140580841672,0,292.9533252037432,0
138,287.4967166397769,0,285.790407075088,0,292.7366554400072,0
139,287.3320733842591,0,285.788287323756,0,292.5409361936191,0
140,287.1931062973191,0,285.8067419739578,0,292.3653156066167,0
141,287.0792284344763,0,285.8447962430217,0,292.2088980176715,0
142,286.9898558742718,0,285.9014532625225,0,292.0707888177763,0
143,286.9244040537907,0,285.9756898223777,0,291.9500801633016,0
144,286.8822835522101,0,286.0664520526373,0,291.8458041935864,0
145,286.8628951355656,0,286.1726511054702,0,291.7569895250654,0
146,286.8656238114049,0,286.293158940233,0,291.6826312745148,0
147,286.8898315471754,0,286.4268043728318,0,291.6216682644913,0
148,286.934848162699,0,286.5723696353464,0,291.5730051079275,0
149,286.999959683588,0,286.7285878174207,0,291.5354972335338,0
150,287.0843930826062,0,286.8941417498719,0,291.5079725005771,0
151,287.1872957078008,0,287.0676651843123,0,291.4891959107242,0
152,287.3077064430001,0,287.2477475936701,0,291.4779028858345,0
153,287.4445132399903,0,287.4329447027214,0,291.4727950600052,0
154,287.5963884582474,0,287.6217982747779,0,291.472587013026,0
155,287.7616848709243,0,287.8128718421354,0,291.4759853131814,0
156,287.9381906456456,0,288.0048176206381,0,291.4818468977306,0
157,288.1220239391041,0,288.1965187990082,0,291.4892002961695,0
158,288.3086603462446,0,288.3874141332271,0,291.4977253737828,0
159,288.4961056716633,0,288.577372822739,0,291.5074410934209,0
160,288.6836083965379,0,288.7664967277814,0,291.518618717828,0
161,288.8710308162327,0,288.9550357966179,0,291.5317508644437,0
162,289.0585656187824,0,289.1433573680198,0,291.5474337907061,0
163,289.2466167435106,0,289.3319423288584,0,291.5663874275489,0
164,289.4357585676138,0,289.5213966715594,0,291.5894828407536,0
165,289.626735227333,0,289.7124745077157,0,291.6177862033772,0
166,289.8204846236289,0,289.9061126319751,0,291.652510861688,0
167,290.0181830119882,0,290.1034795738506,0,291.6951635811192,0
168,290.2213129219077,0,290.3060450402537,0,291.7475464340678,0
169,290.4317631676659,0,290.5156798685257,0,291.8119023389334,0
170,290.6519776286245,0,290.73480364876,0,291.8910291053019,0
171,290.8851827585357,0,290.9666099470949,0,291.9885308292944,0
172,291.1357489210171,0,291.2154237549085,0,292.1091839785828,0
173,291.4097922675434,0,291.4872967579871,0,292.2594660145833,0
174,291.7162388302531,0,291.7910596601989,0,292.4487266786786,0
175,292.0688545041623,0,292.1403296382388,0,292.6910369838997,0
176,292.4905276882519,0,292.5577453539115,0,293.0096183904523,0
177,293.023663768102,0,293.0852456404224,0,293.4468583123675,0
178,293.7613525737386,0,293.8148892670123,0,294.095446649035,0
179,294.9823703380932,0,295.0223491851532,0,295.2314601303021,0
180,298.6356959017567,0,298.6348356430981,0,298.7827130436511,0
